x,P,|P|,Significant?
9.281542,-0.103285,0.103285,1
9.12975,0.002759,0.002759,0
8.996125,-0.081394,0.081394,1
8.904045,-0.096779,0.096779,1
8.840493,0.004346,0.004346,0
8.777009,-0.018506,0.018506,0
8.536525,0.026614,0.026614,0
8.469265,-0.082423,0.082423,0
8.429913,-0.018497,0.018497,0
8.385765,-0.02519,0.02519,0
8.344559,0.011382,0.011382,0
8.30525,-0.003509,0.003509,0
8.259625,0.004959,0.004959,0
8.22375,-0.000384,0.000384,0
8.19775,-0.017717,0.017717,0
8.151375,-0.052316,0.052316,0
8.1075,-0.032242,0.032242,0
8.078125,-0.002213,0.002213,0
8.044078,0.064324,0.064324,0
8.009237,0.00797,0.00797,0
7.968191,-0.039131,0.039131,0
7.904431,-0.066724,0.066724,0
7.839688,-0.044098,0.044098,0
7.797413,-0.092463,0.092463,1
7.774375,-0.015364,0.015364,0
7.755375,-0.001825,0.001825,0
7.72525,0.005215,0.005215,0
7.69625,0.034837,0.034837,0
7.68325,-0.030821,0.030821,0
7.639862,0.034062,0.034062,0
7.554898,0.038565,0.038565,0
7.505778,0.020522,0.020522,0
7.4725,0.013494,0.013494,0
7.453625,0.007649,0.007649,0
7.421589,0.003925,0.003925,0
7.375625,-0.003414,0.003414,0
7.36425,0.006355,0.006355,0
7.35275,0.006267,0.006267,0
7.340125,0.025733,0.025733,0
7.324,0.008686,0.008686,0
7.304625,-0.000273,0.000273,0
7.258879,0.011771,0.011771,0
7.195433,-0.009109,0.009109,0
7.158375,0.037226,0.037226,0
7.131875,-0.058276,0.058276,0
7.095875,-0.003593,0.003593,0
7.042499,0.082396,0.082396,0
6.96995,0.062712,0.062712,0
6.908279,0.016765,0.016765,0
6.860313,-0.002991,0.002991,0
6.760313,0.046708,0.046708,0
6.678532,0.091555,0.091555,0
6.658927,0.097408,0.097408,1
6.630666,0.063707,0.063707,0
6.601919,0.049137,0.049137,0
6.563381,0.078582,0.078582,0
6.459147,0.04703,0.04703,0
6.334875,0.027337,0.027337,0
5.45999,0.006309,0.006309,0
5.399077,0.009187,0.009187,0
5.26118,0.010334,0.010334,0
5.194375,0.078105,0.078105,0
5.102176,0.138245,0.138245,0
4.288378,-0.117948,0.117948,1
4.204404,0.008521,0.008521,0
4.143725,-0.1515,0.1515,1
4.107278,0.006823,0.006823,0
4.060369,-0.086355,0.086355,1
3.997814,0.015127,0.015127,0
3.923595,-0.019395,0.019395,0
3.797664,0.291553,0.291553,0
3.700144,0.599085,0.599085,1
3.639042,0.568409,0.568409,1
3.576954,0.009558,0.009558,0
3.508649,0.047186,0.047186,0
3.432679,-0.071619,0.071619,1
3.336876,0.074388,0.074388,0
3.277151,-0.024898,0.024898,0
3.232679,-0.061561,0.061561,0
3.199665,-0.025148,0.025148,0
3.157684,-0.050301,0.050301,0
3.108066,0.120466,0.120466,0
3.0388,-0.088789,0.088789,0
2.949998,0.063675,0.063675,0
2.9325,-0.046828,0.046828,0
2.920017,-0.007121,0.007121,0
2.907183,-0.013808,0.013808,0
2.89279,0.006611,0.006611,0
2.874864,-0.052712,0.052712,1
2.841629,0.024416,0.024416,0
2.812342,0.083659,0.083659,1
2.802201,0.159664,0.159664,1
2.785932,0.071257,0.071257,0
2.759632,0.067194,0.067194,0
2.731884,-0.008308,0.008308,0
2.68869,-0.039173,0.039173,0
2.64,0.015654,0.015654,0
2.625125,0.042286,0.042286,0
2.607625,0.064001,0.064001,0
2.589125,0.045321,0.045321,0
2.562588,-0.036223,0.036223,0
2.532426,-0.024974,0.024974,0
2.473922,-0.009575,0.009575,0
2.416554,0.028699,0.028699,0
2.396828,-0.026636,0.026636,0
2.376275,-0.104748,0.104748,1
2.348663,0.030978,0.030978,0
2.329692,-0.040401,0.040401,0
2.315694,-0.103633,0.103633,1
2.294875,-0.131899,0.131899,1
2.26275,-0.131477,0.131477,1
2.23125,-0.129216,0.129216,1
2.198,-0.085555,0.085555,0
2.160042,-0.138353,0.138353,0
2.116932,-0.126761,0.126761,1
2.073212,-0.080255,0.080255,0
2.036445,-0.15316,0.15316,1
2.010594,-0.136963,0.136963,1
1.993375,-0.137528,0.137528,1
1.9705,-0.129913,0.129913,1
1.945,-0.156338,0.156338,1
1.925758,-0.248584,0.248584,0
1.907313,-0.066584,0.066584,1
1.883107,-0.054009,0.054009,0
1.86441,-0.047443,0.047443,0
1.852219,-0.047952,0.047952,0
1.841375,-0.014345,0.014345,0
1.81625,-0.009296,0.009296,0
1.7895,0.03225,0.03225,0
1.775875,0.015685,0.015685,0
1.73482,-0.001029,0.001029,0
1.667615,0.034751,0.034751,0
1.64478,-0.028335,0.028335,0
1.635,-0.029797,0.029797,0
1.62325,-0.014993,0.014993,0
1.605,-0.014281,0.014281,0
1.566651,-0.046558,0.046558,0
1.520087,-0.038346,0.038346,0
1.486638,-0.051987,0.051987,0
1.448301,-0.05432,0.05432,0
1.415027,-0.059348,0.059348,0
1.400518,-0.048502,0.048502,0
1.383154,-0.034191,0.034191,0
1.364695,0.006435,0.006435,0
1.347125,-0.037961,0.037961,0
1.325875,-0.041509,0.041509,0
1.308375,-0.030308,0.030308,0
1.29325,0.005676,0.005676,0
1.276,-0.096359,0.096359,1
1.261875,-0.016181,0.016181,0
1.25075,0.003512,0.003512,0
1.240149,0.014552,0.014552,0
1.22949,0.012627,0.012627,0
1.215896,0.003459,0.003459,0
1.202104,-0.026452,0.026452,0
1.189624,-0.020283,0.020283,0
1.176271,-0.016076,0.016076,0
1.157138,0.00248,0.00248,0
1.13802,0.000419,0.000419,0
1.111186,0.061452,0.061452,0
1.085442,0.032235,0.032235,0
1.073129,0.031197,0.031197,0
1.062215,0.050467,0.050467,0
1.041903,0.042175,0.042175,0
1.020875,0.016324,0.016324,0
1.00475,-0.023201,0.023201,0
0.98725,-0.043361,0.043361,0
0.97475,-0.055713,0.055713,0
0.96425,-0.064712,0.064712,0
0.9555,-0.059088,0.059088,0
0.9465,-0.050964,0.050964,0
0.934962,-0.056941,0.056941,0
0.919894,0.002947,0.002947,0
0.901932,-0.058653,0.058653,0
0.878375,-0.041737,0.041737,0
0.845125,-0.021317,0.021317,0
0.796296,0.063205,0.063205,0
0.75875,0.008247,0.008247,0
0.729625,0.026211,0.026211,0
0.55661,0.047969,0.047969,0
0.368327,-0.007941,0.007941,0
